index,单词,正确发音（英音）,正确发音（美音）,错误发音
19,Azure,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=azure&type=1' type='audio/ogg'></audio><code>/'æʒə/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=azure&type=2' type='audio/ogg'></audio><code>/ˈæʒər/</code></div>,:x: `/ˈæzʊʒə/`
20,bind,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=bind&type=1' type='audio/ogg'></audio><code>/baɪnd/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=bind&type=2' type='audio/ogg'></audio><code>/baɪnd/</code></div>,:x: `/bɪnd/`
21,BIOS,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=bios&type=1' type='audio/ogg'></audio><code>/ˈbaɪɒs/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=bios&type=2' type='audio/ogg'></audio><code>/'baɪɑs/</code></div>,:x: `/ˈbɪɒs/`
22,cache,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=cache&type=1' type='audio/ogg'></audio><code>/kæʃ/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=cache&type=2' type='audio/ogg'></audio><code>/kæʃ/</code></div>,:x: `/kætʃ/`
23,canal,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=canal&type=1' type='audio/ogg'></audio><code>/kəˈnæl/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=canal&type=2' type='audio/ogg'></audio><code>/kəˈnæl/</code></div>,:x: `/ˈkænl/`
24,chaos,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=chaos&type=1' type='audio/ogg'></audio><code>/ˈkeɪɒs/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=chaos&type=2' type='audio/ogg'></audio><code>/ˈkeɪɑːs/</code></div>,:x: `/ˈtʃoʊs/`
25,Chrome,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=chrome&type=1' type='audio/ogg'></audio><code>/krəʊm/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=chrome&type=2' type='audio/ogg'></audio><code>/kroʊm/</code></div>,:x: `/tʃɔːm/`
26,clang,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=clang&type=1' type='audio/ogg'></audio><code>/klæŋ/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=clang&type=2' type='audio/ogg'></audio><code>/klæŋ/</code></div>,:x: `/sɪlæŋ/`
27,context,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=context&type=1' type='audio/ogg'></audio><code>/ˈkɒntekst/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=context&type=2' type='audio/ogg'></audio><code>/ ˈkɑːntekst/</code></div>,:x: `/kənˈtekst/`
28,Coq,"<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://upload.wikimedia.org/wikipedia/commons/4/47/Fr-coq.ogg' type='audio/ogg'></audio>IPA French <code>['kɔkʲ]</code>, 读若拼音<code>“goq”</code></div>", ,:x: IPA English ['kʰɒk]
29,daemon,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=Daemon&type=1' type='audio/ogg'></audio><code>/'diːmən/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=Daemon&type=2' type='audio/ogg'></audio><code>/ˈdiːmən/</code></div>,:x: `/dæmən/`
30,debt,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=debt&type=1' type='audio/ogg'></audio><code>/det/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=debt&type=2' type='audio/ogg'></audio><code>/det/</code></div>,:x: `/de'bit/`
31,deny,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=deny&type=1' type='audio/ogg'></audio><code>/dɪ'naɪ/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=deny&type=2' type='audio/ogg'></audio><code>/dɪˈnaɪ/</code></div>,:x: `/'dæni/`
32,deprecate,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=deprecate&type=1' type='audio/ogg'></audio><code>/ˈdeprəkeɪt/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=deprecate&type=2' type='audio/ogg'></audio><code>/ˈdeprəkeɪt/</code></div>,:x: 
33,deque,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=deque&type=1' type='audio/ogg'></audio><code>/'dek/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=deque&type=2' type='audio/ogg'></audio><code>/dɛk/</code></div>,:x: `/di'kju/`
34,digest,"<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=digest&type=1' type='audio/ogg'></audio>n. <code>/'dɑɪdʒɛst/</code>, v. <code>/dɑɪ'dʒɛst/</code></div>","<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=digest&type=2' type='audio/ogg'></audio><code>/daɪˈdʒest,dɪˈdʒest/</code></div>",:x: `/'dɪgɛst/`
35,Dijkstra,"<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://upload.wikimedia.org/wikipedia/commons/8/85/Dijkstra.ogg' type='audio/ogg'></audio>Dutch:<code>/ˈdɛikstra/</code>, English:<code>/ˈdaɪkstrə/</code></div>",<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://upload.wikimedia.org/wikipedia/commons/8/85/Dijkstra.ogg' type='audio/ogg'></audio></div>,:x: 
36,Django,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=Django&type=1' type='audio/ogg'></audio><code>/ˈdʒæŋɡoʊ/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=Django&type=2' type='audio/ogg'></audio><code>/ˈdʒæŋɡoʊ/</code></div>,:x: `/diˈdʒæŋɡoʊ/`
37,doc,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=doc&type=1' type='audio/ogg'></audio><code>/dɒk/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=doc&type=2' type='audio/ogg'></audio><code>/dɒk/</code></div>,:x: `/daʊk/`
38,dotnet,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=dotnet&type=1' type='audio/ogg'></audio><code>/dɒtnet/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=dotnet&type=2' type='audio/ogg'></audio><code>/dɑːtnet/</code></div>,:x: `/daʊtnet/`
39,edition,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=edition&type=1' type='audio/ogg'></audio><code>/ɪˈdɪʃ(ə)n/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=edition&type=2' type='audio/ogg'></audio><code>/ɪˈdɪʃn/</code></div>,:x: `/eˈdɪʃn/`
40,ephemeral,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=ephemeral&type=1' type='audio/ogg'></audio><code>/ɪˈfemərəl/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=ephemeral&type=2' type='audio/ogg'></audio><code>/ɪˈfemərəl/</code></div>,:x: `/efe'merəl/`
41,epoch,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=epoch&type=1' type='audio/ogg'></audio><code>/ˈiːpɒk/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=epoch&type=2' type='audio/ogg'></audio><code>/ˈepək/</code></div>,:x: `/'ɛpətʃ/`
42,execute,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=execute&type=1' type='audio/ogg'></audio><code>/ˈeksɪkjuːt/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=execute&type=2' type='audio/ogg'></audio><code>/ˈeksɪkjuːt/</code></div>,:x: 
43,executor,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=executor&type=1' type='audio/ogg'></audio><code>/ɪɡˈzekjətə(r)/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=executor&type=2' type='audio/ogg'></audio><code>/ɪɡˈzekjətər/</code></div>,:x: 
44,event,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=event&type=1' type='audio/ogg'></audio><code>/ɪ'vent/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=event&type=2' type='audio/ogg'></audio><code>/ɪˈvent/</code></div>,:x: `/'ɪvənt/`
45,exit,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=exit&type=1' type='audio/ogg'></audio><code>/ˈeksɪt/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=exit&type=2' type='audio/ogg'></audio><code>/ˈeksɪt; ˈeɡzɪt/</code></div>,:x: `/ig'zit/`
46,facade,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=facade&type=1' type='audio/ogg'></audio><code>/fə'sɑːd/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=facade&type=2' type='audio/ogg'></audio><code>/fəˈsɑːd/</code></div>,:x: `/'feikeid/`
47,fedora,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=fedora&type=1' type='audio/ogg'></audio><code>/fɪ'dɔːrə/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=fedora&type=2' type='audio/ogg'></audio><code>/fɪˈdɔːrə/</code></div>,:x: `/'fedərə/`
48,format,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=format&type=1' type='audio/ogg'></audio><code>/'fɔːmæt/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=format&type=2' type='audio/ogg'></audio><code>/ˈfɔːrmæt/</code></div>,:x: `/fɔ'mæt/`
49,gauge,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=gauge&type=1' type='audio/ogg'></audio><code>/ɡeɪdʒ/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=gauge&type=2' type='audio/ogg'></audio><code>/ɡeɪdʒ/</code></div>,:x: `/ɡɑudʒ/`
50,Git,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=git&type=1' type='audio/ogg'></audio><code>/ɡɪt/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=git&type=2' type='audio/ogg'></audio><code>/ɡɪt/</code></div>,:x: `/dʒɪt/`
51,GNU,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://upload.wikimedia.org/wikipedia/commons/2/24/En-gnu.ogg' type='audio/ogg'></audio><code>/gnu:/</code></div>,"<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://upload.wikimedia.org/wikipedia/commons/2/24/En-gnu.ogg' type='audio/ogg'></audio><code>/gnuː,gnjuː/</code></div>",:x: 
52,Grafana,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='http://www.howtopronounce.cc/file/e204a97ed1e440c5ab15ea0117beb955.mp3' type='audio/ogg'></audio><code>/grəˈfɑːnˌɑː/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='http://www.howtopronounce.cc/file/e204a97ed1e440c5ab15ea0117beb955.mp3' type='audio/ogg'></audio><code>/grəˈfɑːnˌɑː/</code></div>,:x: 
53,GraphQL,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=GraphQL&type=1' type='audio/ogg'></audio><code>/græf kju ɛl/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=GraphQL&type=2' type='audio/ogg'></audio><code>/græf kju ɛl/</code></div>,:x: `/dʒɪgræf kju ɛl/`
54,GUI,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=GUI&type=1' type='audio/ogg'></audio><code>/ˈɡu:i/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=GUI&type=2' type='audio/ogg'></audio><code>/ˈɡu:i/</code></div>,:x: 
55,Haskell,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=haskell&type=1' type='audio/ogg'></audio><code>/ˈhæskəl/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=haskell&type=2' type='audio/ogg'></audio><code>/ˈhæskəl/</code></div>,:x: `/hæˈskəl/`
56,height,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=height&type=1' type='audio/ogg'></audio><code>/haɪt/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=height&type=2' type='audio/ogg'></audio><code>/haɪt/</code></div>,:x: `/heɪt/`
57,hidden,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=hidden&type=1' type='audio/ogg'></audio><code>/'hɪdn/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=hidden&type=2' type='audio/ogg'></audio><code>/ˈhɪdn/</code></div>,:x: `/'haɪdn/`
58,IEEE,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=I_triple_e&type=1' type='audio/ogg'></audio><code>/aɪ ˈtrɪpəl i/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=I_triple_e&type=2' type='audio/ogg'></audio><code>/aɪ ˈtrɪpəl i/</code></div>,:x: `/'aɪ'iː'iː'iː/`
59,image,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=image&type=1' type='audio/ogg'></audio><code>/'ɪmɪdʒ/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=image&type=2' type='audio/ogg'></audio><code>/ˈɪmɪdʒ/</code></div>,:x: `/ɪ'meɪdʒ/`
60,implement,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=implement&type=1' type='audio/ogg'></audio><code>/'ɪmplɪm(ə)nt/</code></div>,"<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=implement&type=2' type='audio/ogg'></audio><code>/ˈɪmplɪmənt/</code>, <code>/ˈɪmpləˌment/</code></div>",:x: `/ɪm'plem(ə)nt/`
61,integer,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=integer&type=1' type='audio/ogg'></audio><code>/'ɪntɪdʒə/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=integer&type=2' type='audio/ogg'></audio><code>/ˈɪntɪdʒər/</code></div>,:x: `/ˈɪntaɪgə/`
62,issue,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=issue&type=1' type='audio/ogg'></audio><code>/'ɪʃuː/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=issue&type=2' type='audio/ogg'></audio><code>/ˈɪʃuː/</code></div>,:x: `/ˈaɪʃuː/`
